"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Act","","","",1,1,"","","","","Base for all elements","Base definition for all elements in a resource.","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"Act.id","","","",0,*,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Act.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Act.classCode","","","",1,1,"","","","code {[]} {[]}
","classCode","SHALL contain exactly one [1..1] @classCode=""ACT"" (CodeSystem: HL7ActClass urn:oid:2.16.840.1.113883.5.6 STATIC) (CONF:1098-7391).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""ACT""/>","","","",,,,,"",,,,"Act.classCode",1,1,"",""
"Act.moodCode","","","",1,1,"","","","code {[]} {[]}
","moodCode","SHALL contain exactly one [1..1] @moodCode=""INT"" (CodeSystem: HL7ActMood urn:oid:2.16.840.1.113883.5.1001 STATIC) (CONF:1098-7392).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""INT""/>","","","",,,,,"",,,,"Act.moodCode",1,1,"",""
"Act.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","SHALL contain exactly one [1..1] templateId (CONF:1098-7393) such that it","","","","","","","","","",,,,,"","value:root}
value:extension}","",,"open","Act.templateId",0,*,"",""
"Act.templateId","templateId1","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","templateId","SHALL contain exactly one [1..1] templateId (CONF:1098-7393) such that it","","","","","","","","","",,,,,"",,,,"Act.templateId",0,*,"",""
"Act.code","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CD {[]} {[]}
","code","SHALL contain exactly one [1..1] code, which SHOULD be selected from ValueSet Patient Education urn:oid:2.16.840.1.113883.11.20.9.34 DYNAMIC (CONF:1098-16884).","","","","","","","","","",,,,,"",,,,"Act.code",1,1,"",""
"Act.negationInd","","","",0,1,"","","","boolean {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.negationInd",0,1,"",""
"Act.text","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/ED {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.text",0,1,"",""
"Act.statusCode","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","statusCode","SHALL contain exactly one [1..1] statusCode (CONF:1098-7396).","","","","","","","","","",,,,,"",,,,"Act.statusCode",0,1,"",""
"Act.effectiveTime","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/IVL_TS {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.effectiveTime",0,1,"",""
"Act.priorityCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v3-ActPriority","",,,,"Act.priorityCode",0,1,"",""
"Act.languageCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","","","","","","","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-HumanLanguage","",,,,"Act.languageCode",0,1,"",""
"Act.subject","","","",0,1,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.subject",0,1,"",""
"Act.subject.typeCode","","","",1,1,"","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SBJ""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SBJ""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-ParticipationTargetSubject","",,,,"Act.subject.typeCode",1,1,"",""
"Act.subject.contextControlCode","","","",1,1,"","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-ContextControl","",,,,"Act.subject.contextControlCode",1,1,"",""
"Act.subject.awarenessCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v3-TargetAwareness","",,,,"Act.subject.awarenessCode",0,1,"",""
"Act.subject.relatedSubject","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/RelatedSubject {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.subject.relatedSubject",1,1,"",""
"Act.specimen","","","",0,*,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.specimen",0,*,"",""
"Act.specimen.typeCode","","","",1,1,"","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SPC""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SPC""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-ParticipationTargetDirect","",,,,"Act.specimen.typeCode",1,1,"",""
"Act.specimen.specimenRole","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/SpecimenRole {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.specimen.specimenRole",1,1,"",""
"Act.performer","","","",0,*,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Act.performer",0,*,"",""
