"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Section","","","",1,1,"","","","","","","","","","","","","","","",,,,,"",,,,"Section",1,1,"",""
"Section.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-NullFlavor","",,,,"Section.nullFlavor",0,1,"",""
"Section.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"Section.realmCode",0,*,"",""
"Section.typeId","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"Section.typeId",0,1,"",""
"Section.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","SHALL contain exactly one [1..1] templateId (CONF:1098-7844) such that it","","","","","","","","","",,,,,"","value:root}
value:extension}","",,"open","Section.templateId",0,*,"",""
"Section.templateId","templateId1","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","templateId","SHALL contain exactly one [1..1] templateId (CONF:1098-7844) such that it","","","","","","","","","",,,,,"",,,,"Section.templateId",0,*,"",""
"Section.classCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""DOCSECT""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""DOCSECT""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ActClassOrganizer","",,,,"Section.classCode",1,1,"",""
"Section.moodCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""EVN""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""EVN""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ActMood","",,,,"Section.moodCode",1,1,"",""
"Section.id","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.id",0,1,"",""
"Section.code","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","code","SHALL contain exactly one [1..1] code (CONF:1098-15427).","","","","","","","","","",,,,,"",,,,"Section.code",0,1,"",""
"Section.title","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/ST {[]} {[]}
","title","SHALL contain exactly one [1..1] title (CONF:1098-7846).","","","","","","","","","",,,,,"",,,,"Section.title",0,1,"",""
"Section.text","","","",1,1,"Y","","","xhtml {[]} {[]}
","text","SHALL contain exactly one [1..1] text (CONF:1098-7847).","","","","","","","","","",,,,,"",,,,"Section.text",0,1,"",""
"Section.confidentialityCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.confidentialityCode",0,1,"",""
"Section.languageCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-HumanLanguage","",,,,"Section.languageCode",0,1,"",""
"Section.subject","","","",0,1,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.subject",0,1,"",""
"Section.subject.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-NullFlavor","",,,,"Section.subject.nullFlavor",0,1,"",""
"Section.subject.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"Section.subject.realmCode",0,*,"",""
"Section.subject.typeId","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"Section.subject.typeId",0,1,"",""
"Section.subject.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of a set of template-defined constraints. The value of this attribute provides a unique identifier for the templates in question","","","","","","","","","",,,,,"",,,,"Section.subject.templateId",0,*,"",""
"Section.subject.typeCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SBJ""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""SBJ""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ParticipationTargetSubject","",,,,"Section.subject.typeCode",1,1,"",""
"Section.subject.contextControlCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ContextControl","",,,,"Section.subject.contextControlCode",1,1,"",""
"Section.subject.awarenessCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/v3-TargetAwareness","",,,,"Section.subject.awarenessCode",0,1,"",""
"Section.subject.relatedSubject","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/RelatedSubject {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.subject.relatedSubject",1,1,"",""
"Section.author","","","",0,*,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.author",0,*,"",""
"Section.author.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-NullFlavor","",,,,"Section.author.nullFlavor",0,1,"",""
"Section.author.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"Section.author.realmCode",0,*,"",""
"Section.author.typeId","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"Section.author.typeId",0,1,"",""
"Section.author.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of a set of template-defined constraints. The value of this attribute provides a unique identifier for the templates in question","","","","","","","","","",,,,,"",,,,"Section.author.templateId",0,*,"",""
"Section.author.typeCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""AUT""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""AUT""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ParticipationInformationTranscriber","",,,,"Section.author.typeCode",1,1,"",""
"Section.author.functionCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/v3-ParticipationFunction","",,,,"Section.author.functionCode",0,1,"",""
"Section.author.contextControlCode","","","",1,1,"Y","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""OP""/>","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ContextControl","",,,,"Section.author.contextControlCode",1,1,"",""
"Section.author.time","","","",1,1,"Y","","","http://hl7.org/fhir/cda/StructureDefinition/TS {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.author.time",1,1,"",""
"Section.author.assignedAuthor","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/AssignedAuthor {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.author.assignedAuthor",1,1,"",""
"Section.informant","","","",0,*,"","","","Element {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Section.informant",0,*,"",""
"Section.informant.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-NullFlavor","",,,,"Section.informant.nullFlavor",0,1,"",""
"Section.informant.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"Section.informant.realmCode",0,*,"",""
