"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Observation","","","",1,1,"","","","","","","","","","","","","","","",,,,,"",,,,"Observation",1,1,"",""
"Observation.nullFlavor","","","Exceptional Value Detail",0,1,"","","","code {[]} {[]}
","","If a value is an exceptional value (NULL-value), this specifies in what way and why proper information is missing.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-NullFlavor","",,,,"Observation.nullFlavor",0,1,"",""
"Observation.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"Observation.realmCode",0,*,"",""
"Observation.typeId","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"Observation.typeId",0,1,"",""
"Observation.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","SHALL contain exactly one [1..1] templateId (CONF:1098-7482) such that it","","","","","","","","","",,,,,"","value:root}
value:extension}","",,"open","Observation.templateId",0,*,"",""
"Observation.templateId","templateId1","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","templateId","SHALL contain exactly one [1..1] templateId (CONF:1098-7482) such that it","","","","","","","","","",,,,,"",,,,"Observation.templateId",0,*,"",""
"Observation.classCode","","","",1,1,"Y","","","code {[]} {[]}
","classCode","SHALL contain exactly one [1..1] @classCode=""OBS"" (CodeSystem: HL7ActClass urn:oid:2.16.840.1.113883.5.6 STATIC) (CONF:1098-7480).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""OBS""/>","","","",,"required","","http://hl7.org/fhir/ValueSet/v3-ActClassObservation","",,,,"Observation.classCode",1,1,"",""
"Observation.moodCode","","","",1,1,"Y","","","code {[]} {[]}
","moodCode","SHALL contain exactly one [1..1] @moodCode=""EVN"" (CodeSystem: HL7ActMood urn:oid:2.16.840.1.113883.5.1001 STATIC) (CONF:1098-7481).","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""EVN""/>","","","",,,,,"",,,,"Observation.moodCode",1,1,"",""
"Observation.id","","","If the id element is used to reference a problem recorded elsewhere in the document then this id must equal another entry/id in the same document instance. Application Software must be responsible for resolving the identifier back to its original object and then rendering the information in the correct place in the containing section's narrative text. Its purpose is to obviate the need to repeat the complete XML representation of the referred to entry when relating one entry to another.",1,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","If the id element is used to reference a problem recorded elsewhere in the document then this id must equal another entry/id in the same document instance. Application Software must be responsible for resolving the identifier back to its original object and then rendering the information in the correct place in the containing section's narrative text. Its purpose is to obviate the need to repeat the complete XML representation of the referred to entry when relating one entry to another.","SHALL contain at least one [1..*] id (CONF:1098-7483).","","","","","","","","","",,,,,"",,,,"Observation.id",0,*,"",""
"Observation.code","","","",1,1,"Y","","","http://hl7.org/fhir/cda/StructureDefinition/CD {[]} {[]}
","code","SHALL contain exactly one [1..1] code, which MAY be selected from ValueSet Problem Type urn:oid:2.16.840.1.113883.3.88.12.3221.7.2 STATIC 2014-09-02 (CONF:1098-31229).","","","","","","","","","",,,,,"",,,,"Observation.code",1,1,"",""
"Observation.negationInd","","","",0,1,"","","","boolean {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Observation.negationInd",0,1,"",""
